id,crime_group,year,num_crimes
1,BATTERY,2001,2
1,BATTERY,2002,1945
1,BATTERY,2003,2331
1,BATTERY,2004,2357
1,BATTERY,2005,2385
1,BATTERY,2006,2109
1,BATTERY,2007,1942
1,BATTERY,2008,2000
1,BATTERY,2009,1895
1,BATTERY,2010,1742
1,BATTERY,2011,1674
1,BATTERY,2012,1705
1,BATTERY,2013,1500
1,BATTERY,2014,1313
1,BATTERY,2015,1160
1,BATTERY,2016,1232
1,BATTERY,2017,1193
1,BATTERY,2018,437
1,DECEPTIVE PRACTICE,2001,8
1,DECEPTIVE PRACTICE,2002,217
1,DECEPTIVE PRACTICE,2003,236
1,DECEPTIVE PRACTICE,2004,217
1,DECEPTIVE PRACTICE,2005,249
1,DECEPTIVE PRACTICE,2006,247
1,DECEPTIVE PRACTICE,2007,247
1,DECEPTIVE PRACTICE,2008,253
1,DECEPTIVE PRACTICE,2009,233
1,DECEPTIVE PRACTICE,2010,196
1,DECEPTIVE PRACTICE,2011,190
1,DECEPTIVE PRACTICE,2012,159
1,DECEPTIVE PRACTICE,2013,188
1,DECEPTIVE PRACTICE,2014,234
1,DECEPTIVE PRACTICE,2015,231
1,DECEPTIVE PRACTICE,2016,254
1,DECEPTIVE PRACTICE,2017,266
1,DECEPTIVE PRACTICE,2018,70
1,HOMICIDE,2001,6
1,HOMICIDE,2002,8
1,HOMICIDE,2003,6
1,HOMICIDE,2004,6
1,HOMICIDE,2005,6
1,HOMICIDE,2006,3
1,HOMICIDE,2007,3
1,HOMICIDE,2008,5
1,HOMICIDE,2009,2
1,HOMICIDE,2010,3
1,HOMICIDE,2011,4
1,HOMICIDE,2012,6
1,HOMICIDE,2013,4
1,HOMICIDE,2014,8
1,HOMICIDE,2015,6
1,HOMICIDE,2016,5
1,HOMICIDE,2017,4
1,NARCOTICS,2002,672
1,NARCOTICS,2003,925
1,NARCOTICS,2004,826
1,NARCOTICS,2005,1123
1,NARCOTICS,2006,1019
1,NARCOTICS,2007,902
1,NARCOTICS,2008,884
1,NARCOTICS,2009,709
1,NARCOTICS,2010,669
1,NARCOTICS,2011,498
1,NARCOTICS,2012,512
1,NARCOTICS,2013,373
1,NARCOTICS,2014,293
1,NARCOTICS,2015,226
1,NARCOTICS,2016,96
1,NARCOTICS,2017,70
1,NARCOTICS,2018,16
1,NON-CRIMINAL,2002,28
1,NON-CRIMINAL,2003,44
1,NON-CRIMINAL,2004,52
1,NON-CRIMINAL,2005,51
1,NON-CRIMINAL,2006,52
1,NON-CRIMINAL,2007,37
1,NON-CRIMINAL,2008,59
1,NON-CRIMINAL,2009,73
1,NON-CRIMINAL,2010,72
1,NON-CRIMINAL,2011,77
1,NON-CRIMINAL,2012,82
1,NON-CRIMINAL,2013,67
1,NON-CRIMINAL,2014,43
1,NON-CRIMINAL,2015,43
1,NON-CRIMINAL,2016,31
1,NON-CRIMINAL,2017,31
1,NON-CRIMINAL,2018,12
1,SEXUAL,2001,12
1,SEXUAL,2002,133
1,SEXUAL,2003,218
1,SEXUAL,2004,224
1,SEXUAL,2005,203
1,SEXUAL,2006,233
1,SEXUAL,2007,171
1,SEXUAL,2008,146
1,SEXUAL,2009,99
1,SEXUAL,2010,86
1,SEXUAL,2011,56
1,SEXUAL,2012,80
1,SEXUAL,2013,68
1,SEXUAL,2014,70
1,SEXUAL,2015,53
1,SEXUAL,2016,72
1,SEXUAL,2017,55
1,SEXUAL,2018,25
1,THEFT,2001,26
1,THEFT,2002,2305
1,THEFT,2003,2860
1,THEFT,2004,2940
1,THEFT,2005,2550
1,THEFT,2006,2605
1,THEFT,2007,2519
1,THEFT,2008,2310
1,THEFT,2009,2178
1,THEFT,2010,2108
1,THEFT,2011,1981
1,THEFT,2012,1788
1,THEFT,2013,1617
1,THEFT,2014,1384
1,THEFT,2015,1363
1,THEFT,2016,1502
1,THEFT,2017,1864
1,THEFT,2018,530
2,BATTERY,2001,5
2,BATTERY,2002,1167
2,BATTERY,2003,1545
2,BATTERY,2004,1581
2,BATTERY,2005,1588
2,BATTERY,2006,1602
2,BATTERY,2007,1537
2,BATTERY,2008,1596
2,BATTERY,2009,1479
2,BATTERY,2010,1362
2,BATTERY,2011,1209
2,BATTERY,2012,1189
2,BATTERY,2013,1164
2,BATTERY,2014,1031
2,BATTERY,2015,961
2,BATTERY,2016,992
2,BATTERY,2017,1082
2,BATTERY,2018,398
2,DECEPTIVE PRACTICE,2001,6
2,DECEPTIVE PRACTICE,2002,186
2,DECEPTIVE PRACTICE,2003,235
2,DECEPTIVE PRACTICE,2004,193
2,DECEPTIVE PRACTICE,2005,172
2,DECEPTIVE PRACTICE,2006,210
2,DECEPTIVE PRACTICE,2007,197
2,DECEPTIVE PRACTICE,2008,233
2,DECEPTIVE PRACTICE,2009,218
2,DECEPTIVE PRACTICE,2010,157
2,DECEPTIVE PRACTICE,2011,192
2,DECEPTIVE PRACTICE,2012,171
2,DECEPTIVE PRACTICE,2013,176
2,DECEPTIVE PRACTICE,2014,206
2,DECEPTIVE PRACTICE,2015,199
2,DECEPTIVE PRACTICE,2016,283
2,DECEPTIVE PRACTICE,2017,293
2,DECEPTIVE PRACTICE,2018,98
2,HOMICIDE,2001,2
2,HOMICIDE,2003,1
2,HOMICIDE,2004,1
2,HOMICIDE,2005,2
2,HOMICIDE,2006,2
2,HOMICIDE,2007,8
2,HOMICIDE,2009,2
2,HOMICIDE,2010,1
2,HOMICIDE,2012,6
2,HOMICIDE,2013,1
2,HOMICIDE,2014,3
2,HOMICIDE,2015,4
2,HOMICIDE,2016,7
2,HOMICIDE,2017,2
2,HOMICIDE,2018,2
2,NARCOTICS,2002,140
2,NARCOTICS,2003,240
2,NARCOTICS,2004,210
2,NARCOTICS,2005,327
2,NARCOTICS,2006,412
2,NARCOTICS,2007,403
2,NARCOTICS,2008,387
2,NARCOTICS,2009,416
2,NARCOTICS,2010,343
2,NARCOTICS,2011,289
2,NARCOTICS,2012,240
2,NARCOTICS,2013,221
2,NARCOTICS,2014,183
2,NARCOTICS,2015,166
2,NARCOTICS,2016,97
2,NARCOTICS,2017,57
2,NARCOTICS,2018,36
2,NON-CRIMINAL,2002,19
2,NON-CRIMINAL,2003,37
2,NON-CRIMINAL,2004,23
2,NON-CRIMINAL,2005,31
2,NON-CRIMINAL,2006,36
2,NON-CRIMINAL,2007,40
2,NON-CRIMINAL,2008,37
2,NON-CRIMINAL,2009,45
2,NON-CRIMINAL,2010,47
2,NON-CRIMINAL,2011,51
2,NON-CRIMINAL,2012,41
2,NON-CRIMINAL,2013,37
2,NON-CRIMINAL,2014,41
2,NON-CRIMINAL,2015,44
2,NON-CRIMINAL,2016,20
2,NON-CRIMINAL,2017,21
2,NON-CRIMINAL,2018,4
2,SEXUAL,2001,2
2,SEXUAL,2002,63
2,SEXUAL,2003,68
2,SEXUAL,2004,71
2,SEXUAL,2005,79
2,SEXUAL,2006,74
2,SEXUAL,2007,75
2,SEXUAL,2008,72
2,SEXUAL,2009,65
2,SEXUAL,2010,56
2,SEXUAL,2011,51
2,SEXUAL,2012,62
2,SEXUAL,2013,43
2,SEXUAL,2014,49
2,SEXUAL,2015,60
2,SEXUAL,2016,61
2,SEXUAL,2017,57
2,SEXUAL,2018,16
2,THEFT,2001,23
2,THEFT,2002,1861
2,THEFT,2003,2183
2,THEFT,2004,2676
2,THEFT,2005,2614
2,THEFT,2006,2607
2,THEFT,2007,2002
2,THEFT,2008,2197
2,THEFT,2009,2170
2,THEFT,2010,2106
2,THEFT,2011,1947
2,THEFT,2012,1737
2,THEFT,2013,1630
2,THEFT,2014,1415
2,THEFT,2015,1195
2,THEFT,2016,1302
2,THEFT,2017,1541
2,THEFT,2018,526
3,BATTERY,2001,8
3,BATTERY,2002,1892
3,BATTERY,2003,2247
3,BATTERY,2004,2260
3,BATTERY,2005,2139
3,BATTERY,2006,1957
3,BATTERY,2007,1870
3,BATTERY,2008,1808
3,BATTERY,2009,1527
3,BATTERY,2010,1440
3,BATTERY,2011,1249
3,BATTERY,2012,1234
3,BATTERY,2013,1231
3,BATTERY,2014,1071
3,BATTERY,2015,1139
3,BATTERY,2016,1122
3,BATTERY,2017,1153
3,BATTERY,2018,435
3,DECEPTIVE PRACTICE,2001,10
3,DECEPTIVE PRACTICE,2002,340
3,DECEPTIVE PRACTICE,2003,444
3,DECEPTIVE PRACTICE,2004,428
3,DECEPTIVE PRACTICE,2005,430
3,DECEPTIVE PRACTICE,2006,279
3,DECEPTIVE PRACTICE,2007,247
3,DECEPTIVE PRACTICE,2008,276
3,DECEPTIVE PRACTICE,2009,268
3,DECEPTIVE PRACTICE,2010,261
3,DECEPTIVE PRACTICE,2011,268
3,DECEPTIVE PRACTICE,2012,266
3,DECEPTIVE PRACTICE,2013,304
3,DECEPTIVE PRACTICE,2014,271
3,DECEPTIVE PRACTICE,2015,327
3,DECEPTIVE PRACTICE,2016,354
3,DECEPTIVE PRACTICE,2017,392
3,DECEPTIVE PRACTICE,2018,134
3,HOMICIDE,2001,8
3,HOMICIDE,2002,4
3,HOMICIDE,2003,9
3,HOMICIDE,2004,2
3,HOMICIDE,2005,1
3,HOMICIDE,2006,3
3,HOMICIDE,2007,5
3,HOMICIDE,2008,3
3,HOMICIDE,2009,1
3,HOMICIDE,2010,4
3,HOMICIDE,2011,5
3,HOMICIDE,2012,5
3,HOMICIDE,2013,1
3,HOMICIDE,2014,5
3,HOMICIDE,2015,12
3,HOMICIDE,2016,8
3,HOMICIDE,2017,5
3,NARCOTICS,2001,8
3,NARCOTICS,2002,700
3,NARCOTICS,2003,1014
3,NARCOTICS,2004,849
3,NARCOTICS,2005,1069
3,NARCOTICS,2006,1132
3,NARCOTICS,2007,1072
3,NARCOTICS,2008,763
3,NARCOTICS,2009,627
3,NARCOTICS,2010,700
3,NARCOTICS,2011,707
3,NARCOTICS,2012,738
3,NARCOTICS,2013,487
3,NARCOTICS,2014,526
3,NARCOTICS,2015,291
3,NARCOTICS,2016,118
3,NARCOTICS,2017,71
3,NARCOTICS,2018,24
3,NON-CRIMINAL,2001,1
3,NON-CRIMINAL,2002,54
3,NON-CRIMINAL,2003,72
3,NON-CRIMINAL,2004,103
3,NON-CRIMINAL,2005,87
3,NON-CRIMINAL,2006,69
3,NON-CRIMINAL,2007,69
3,NON-CRIMINAL,2008,58
3,NON-CRIMINAL,2009,70
3,NON-CRIMINAL,2010,83
3,NON-CRIMINAL,2011,55
3,NON-CRIMINAL,2012,40
3,NON-CRIMINAL,2013,59
3,NON-CRIMINAL,2014,46
3,NON-CRIMINAL,2015,41
3,NON-CRIMINAL,2016,29
3,NON-CRIMINAL,2017,43
3,NON-CRIMINAL,2018,13
3,SEXUAL,2001,6
3,SEXUAL,2002,212
3,SEXUAL,2003,279
3,SEXUAL,2004,262
3,SEXUAL,2005,261
3,SEXUAL,2006,180
3,SEXUAL,2007,141
3,SEXUAL,2008,84
3,SEXUAL,2009,90
3,SEXUAL,2010,54
3,SEXUAL,2011,45
3,SEXUAL,2012,64
3,SEXUAL,2013,55
3,SEXUAL,2014,45
3,SEXUAL,2015,54
3,SEXUAL,2016,44
3,SEXUAL,2017,45
3,SEXUAL,2018,23
3,THEFT,2001,27
3,THEFT,2002,2222
3,THEFT,2003,2758
3,THEFT,2004,2829
3,THEFT,2005,2772
3,THEFT,2006,2438
3,THEFT,2007,2280
3,THEFT,2008,2322
3,THEFT,2009,2031
3,THEFT,2010,1992
3,THEFT,2011,1980
3,THEFT,2012,2114
3,THEFT,2013,1736
3,THEFT,2014,1473
3,THEFT,2015,1417
3,THEFT,2016,1528
3,THEFT,2017,1453
3,THEFT,2018,461
4,BATTERY,2001,3
4,BATTERY,2002,791
4,BATTERY,2003,988
4,BATTERY,2004,915
4,BATTERY,2005,953
4,BATTERY,2006,868
4,BATTERY,2007,790
4,BATTERY,2008,785
4,BATTERY,2009,716
4,BATTERY,2010,631
4,BATTERY,2011,595
4,BATTERY,2012,613
4,BATTERY,2013,618
4,BATTERY,2014,543
4,BATTERY,2015,497
4,BATTERY,2016,532
4,BATTERY,2017,531
4,BATTERY,2018,229
4,DECEPTIVE PRACTICE,2001,8
4,DECEPTIVE PRACTICE,2002,106
4,DECEPTIVE PRACTICE,2003,112
4,DECEPTIVE PRACTICE,2004,145
4,DECEPTIVE PRACTICE,2005,139
4,DECEPTIVE PRACTICE,2006,139
4,DECEPTIVE PRACTICE,2007,136
4,DECEPTIVE PRACTICE,2008,142
4,DECEPTIVE PRACTICE,2009,143
4,DECEPTIVE PRACTICE,2010,105
4,DECEPTIVE PRACTICE,2011,104
4,DECEPTIVE PRACTICE,2012,96
4,DECEPTIVE PRACTICE,2013,110
4,DECEPTIVE PRACTICE,2014,145
4,DECEPTIVE PRACTICE,2015,147
4,DECEPTIVE PRACTICE,2016,252
4,DECEPTIVE PRACTICE,2017,219
4,DECEPTIVE PRACTICE,2018,65
4,HOMICIDE,2001,1
4,HOMICIDE,2002,1
4,HOMICIDE,2003,1
4,HOMICIDE,2005,3
4,HOMICIDE,2007,1
4,HOMICIDE,2008,1
4,HOMICIDE,2011,1
4,HOMICIDE,2013,2
4,HOMICIDE,2015,1
4,HOMICIDE,2016,1
4,HOMICIDE,2017,1
4,HOMICIDE,2018,1
4,NARCOTICS,2002,121
4,NARCOTICS,2003,137
4,NARCOTICS,2004,107
4,NARCOTICS,2005,143
4,NARCOTICS,2006,167
4,NARCOTICS,2007,169
4,NARCOTICS,2008,124
4,NARCOTICS,2009,169
4,NARCOTICS,2010,171
4,NARCOTICS,2011,163
4,NARCOTICS,2012,121
4,NARCOTICS,2013,67
4,NARCOTICS,2014,113
4,NARCOTICS,2015,82
