Community Area,Primary Type,Year,ID
1.0,ARSON,2002,7
1.0,ARSON,2003,11
1.0,ARSON,2004,15
1.0,ARSON,2005,5
1.0,ARSON,2006,10
1.0,ARSON,2007,3
1.0,ARSON,2008,2
1.0,ARSON,2009,3
1.0,ARSON,2010,6
1.0,ARSON,2011,7
1.0,ARSON,2012,5
1.0,ARSON,2013,5
1.0,ARSON,2014,1
1.0,ARSON,2015,4
1.0,ARSON,2016,2
1.0,ARSON,2017,1
1.0,ASSAULT,2002,329
1.0,ASSAULT,2003,373
1.0,ASSAULT,2004,401
1.0,ASSAULT,2005,415
1.0,ASSAULT,2006,400
1.0,ASSAULT,2007,325
1.0,ASSAULT,2008,388
1.0,ASSAULT,2009,346
1.0,ASSAULT,2010,367
1.0,ASSAULT,2011,283
1.0,ASSAULT,2012,340
1.0,ASSAULT,2013,303
1.0,ASSAULT,2014,263
1.0,ASSAULT,2015,238
1.0,ASSAULT,2016,234
1.0,ASSAULT,2017,267
1.0,ASSAULT,2018,105
1.0,BATTERY,2001,1
1.0,BATTERY,2002,1158
1.0,BATTERY,2003,1369
1.0,BATTERY,2004,1377
1.0,BATTERY,2005,1390
1.0,BATTERY,2006,1226
1.0,BATTERY,2007,1212
1.0,BATTERY,2008,1151
1.0,BATTERY,2009,1074
1.0,BATTERY,2010,983
1.0,BATTERY,2011,994
1.0,BATTERY,2012,991
1.0,BATTERY,2013,866
1.0,BATTERY,2014,794
1.0,BATTERY,2015,675
1.0,BATTERY,2016,760
1.0,BATTERY,2017,703
1.0,BATTERY,2018,261
1.0,BURGLARY,2002,442
1.0,BURGLARY,2003,516
1.0,BURGLARY,2004,479
1.0,BURGLARY,2005,390
1.0,BURGLARY,2006,332
1.0,BURGLARY,2007,364
1.0,BURGLARY,2008,299
1.0,BURGLARY,2009,324
1.0,BURGLARY,2010,305
1.0,BURGLARY,2011,258
1.0,BURGLARY,2012,212
1.0,BURGLARY,2013,187
1.0,BURGLARY,2014,181
1.0,BURGLARY,2015,166
1.0,BURGLARY,2016,183
1.0,BURGLARY,2017,182
1.0,BURGLARY,2018,42
1.0,CRIM SEXUAL ASSAULT,2001,2
1.0,CRIM SEXUAL ASSAULT,2002,28
1.0,CRIM SEXUAL ASSAULT,2003,29
1.0,CRIM SEXUAL ASSAULT,2004,22
1.0,CRIM SEXUAL ASSAULT,2005,29
1.0,CRIM SEXUAL ASSAULT,2006,22
1.0,CRIM SEXUAL ASSAULT,2007,26
1.0,CRIM SEXUAL ASSAULT,2008,27
1.0,CRIM SEXUAL ASSAULT,2009,22
1.0,CRIM SEXUAL ASSAULT,2010,21
1.0,CRIM SEXUAL ASSAULT,2011,26
1.0,CRIM SEXUAL ASSAULT,2012,17
1.0,CRIM SEXUAL ASSAULT,2013,19
1.0,CRIM SEXUAL ASSAULT,2014,29
1.0,CRIM SEXUAL ASSAULT,2015,26
1.0,CRIM SEXUAL ASSAULT,2016,31
1.0,CRIM SEXUAL ASSAULT,2017,31
1.0,CRIM SEXUAL ASSAULT,2018,8
1.0,CRIMINAL DAMAGE,2002,731
1.0,CRIMINAL DAMAGE,2003,968
1.0,CRIMINAL DAMAGE,2004,915
1.0,CRIMINAL DAMAGE,2005,870
1.0,CRIMINAL DAMAGE,2006,864
1.0,CRIMINAL DAMAGE,2007,909
1.0,CRIMINAL DAMAGE,2008,760
1.0,CRIMINAL DAMAGE,2009,697
1.0,CRIMINAL DAMAGE,2010,628
1.0,CRIMINAL DAMAGE,2011,568
1.0,CRIMINAL DAMAGE,2012,500
1.0,CRIMINAL DAMAGE,2013,536
1.0,CRIMINAL DAMAGE,2014,385
1.0,CRIMINAL DAMAGE,2015,446
1.0,CRIMINAL DAMAGE,2016,403
1.0,CRIMINAL DAMAGE,2017,584
1.0,CRIMINAL DAMAGE,2018,164
1.0,CRIMINAL TRESPASS,2002,197
1.0,CRIMINAL TRESPASS,2003,296
1.0,CRIMINAL TRESPASS,2004,298
1.0,CRIMINAL TRESPASS,2005,278
1.0,CRIMINAL TRESPASS,2006,335
1.0,CRIMINAL TRESPASS,2007,335
1.0,CRIMINAL TRESPASS,2008,312
1.0,CRIMINAL TRESPASS,2009,259
1.0,CRIMINAL TRESPASS,2010,189
1.0,CRIMINAL TRESPASS,2011,162
1.0,CRIMINAL TRESPASS,2012,183
1.0,CRIMINAL TRESPASS,2013,190
1.0,CRIMINAL TRESPASS,2014,141
1.0,CRIMINAL TRESPASS,2015,123
1.0,CRIMINAL TRESPASS,2016,133
1.0,CRIMINAL TRESPASS,2017,179
1.0,CRIMINAL TRESPASS,2018,54
1.0,DECEPTIVE PRACTICE,2001,8
1.0,DECEPTIVE PRACTICE,2002,217
1.0,DECEPTIVE PRACTICE,2003,236
1.0,DECEPTIVE PRACTICE,2004,217
1.0,DECEPTIVE PRACTICE,2005,249
1.0,DECEPTIVE PRACTICE,2006,247
1.0,DECEPTIVE PRACTICE,2007,247
1.0,DECEPTIVE PRACTICE,2008,253
1.0,DECEPTIVE PRACTICE,2009,233
1.0,DECEPTIVE PRACTICE,2010,196
1.0,DECEPTIVE PRACTICE,2011,190
1.0,DECEPTIVE PRACTICE,2012,159
1.0,DECEPTIVE PRACTICE,2013,188
1.0,DECEPTIVE PRACTICE,2014,234
1.0,DECEPTIVE PRACTICE,2015,231
1.0,DECEPTIVE PRACTICE,2016,254
1.0,DECEPTIVE PRACTICE,2017,266
1.0,DECEPTIVE PRACTICE,2018,70
1.0,GAMBLING,2002,22
1.0,GAMBLING,2003,20
1.0,GAMBLING,2004,24
1.0,GAMBLING,2005,17
1.0,GAMBLING,2006,15
1.0,GAMBLING,2007,12
1.0,GAMBLING,2008,13
1.0,GAMBLING,2009,16
1.0,GAMBLING,2010,11
1.0,GAMBLING,2011,9
1.0,GAMBLING,2012,6
1.0,GAMBLING,2015,2
1.0,HOMICIDE,2001,6
1.0,HOMICIDE,2002,8
1.0,HOMICIDE,2003,6
1.0,HOMICIDE,2004,6
1.0,HOMICIDE,2005,6
1.0,HOMICIDE,2006,3
1.0,HOMICIDE,2007,3
